trans      bg     da     de     en     fa     hi     hu     it     ja     nl     ro     ru     sv     ta     te     average
average    0.9918 0.9940 0.9927 0.9961 0.9995 0.9966 0.9998 0.9881 1.0000 0.9957 1.0000 1.0000 0.9887 0.9861 0.9989 0.9952 
fMhLsNcBpP 0.9920 0.9947 0.9930 0.9972 0.9999 0.9980 0.9999 0.9840 1.0000 0.9965 1.0000 1.0000 0.9879 0.9784 0.9983 0.9947 
fMhMsNcBpP 0.9901 0.9936 0.9915 0.9965 0.9998 0.9941 0.9996 0.9837 1.0000 0.9955 1.0000 1.0000 0.9869 0.9783 0.9983 0.9938 
fMhRsNcBpP 0.9834 0.9874 0.9849 0.9915 0.9980 0.9931 0.9992 0.9800 1.0000 0.9909 1.0000 1.0000 0.9781 0.9783 0.9983 0.9909 
fPhLsHcHpB 0.9933 0.9968 0.9951 0.9992 0.9999 0.9993 1.0000 0.9806 1.0000 0.9982 1.0000 1.0000 0.9903 0.9784 0.9983 0.9953 
fPhMsHcHpB 0.9936 0.9967 0.9953 0.9992 0.9999 0.9993 1.0000 0.9850 1.0000 0.9982 1.0000 1.0000 0.9903 0.9784 0.9983 0.9956 
fShLsNcBpP 0.9936 0.9943 0.9947 0.9960 0.9993 0.9972 0.9998 0.9965 1.0000 0.9961 1.0000 1.0000 0.9929 0.9992 1.0000 0.9973 
fShMsNcBpP 0.9946 0.9940 0.9942 0.9956 0.9993 0.9957 0.9998 0.9965 1.0000 0.9958 1.0000 1.0000 0.9927 0.9989 1.0000 0.9971 
fShRsNcBpP 0.9932 0.9924 0.9920 0.9937 0.9996 0.9957 0.9998 0.9958 1.0000 0.9947 1.0000 1.0000 0.9906 0.9989 1.0000 0.9964 

